CVE ID,Link,Patch Type,Patch Link (NVD),Base-Score,NVD Published Date
CVE-2023-22057,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22057,Vendor Advisory,"https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/C63HAGVLQA6FJNDCHR7CNZZL6VSLILB2/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/JEHRBBYYTPA4DETOM5XAKGCP37NUTLOA/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/QYLDK6ODVC4LJSDULLX6Q2YHTFOWABCN/
https://security.netapp.com/advisory/ntap-20230725-0005/
https://www.oracle.com/security-alerts/cpujul2023.html",4.9 MEDIUM,07/18/2023
CVE-2023-22056,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22056,Vendor Advisory,"https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/C63HAGVLQA6FJNDCHR7CNZZL6VSLILB2/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/JEHRBBYYTPA4DETOM5XAKGCP37NUTLOA/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/QYLDK6ODVC4LJSDULLX6Q2YHTFOWABCN/
https://security.netapp.com/advisory/ntap-20230725-0005/
https://www.oracle.com/security-alerts/cpujul2023.html",4.9 MEDIUM,07/18/2023
CVE-2023-22055,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22055,Patch,https://www.oracle.com/security-alerts/cpujul2023.html,6.1 MEDIUM,07/18/2023
CVE-2023-22054,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22054,Vendor Advisory,"https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/C63HAGVLQA6FJNDCHR7CNZZL6VSLILB2/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/JEHRBBYYTPA4DETOM5XAKGCP37NUTLOA/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/QYLDK6ODVC4LJSDULLX6Q2YHTFOWABCN/
https://security.netapp.com/advisory/ntap-20230725-0005/
https://www.oracle.com/security-alerts/cpujul2023.html",4.9 MEDIUM,07/18/2023
CVE-2023-22053,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22053,Vendor Advisory,"https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/C63HAGVLQA6FJNDCHR7CNZZL6VSLILB2/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/JEHRBBYYTPA4DETOM5XAKGCP37NUTLOA/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/QYLDK6ODVC4LJSDULLX6Q2YHTFOWABCN/
https://security.netapp.com/advisory/ntap-20230725-0005/
https://www.oracle.com/security-alerts/cpujul2023.html",5.9 MEDIUM,07/18/2023
CVE-2023-22052,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22052,Patch,https://www.oracle.com/security-alerts/cpujul2023.html,3.1 LOW,07/18/2023
CVE-2023-22051,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22051,Patch,https://www.oracle.com/security-alerts/cpujul2023.html,3.7 LOW,07/18/2023
CVE-2023-22050,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22050,Patch,https://www.oracle.com/security-alerts/cpujul2023.html,5.4 MEDIUM,07/18/2023
CVE-2023-22049,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22049,Patch,"https://lists.debian.org/debian-lts-announce/2023/09/msg00018.html
https://security.netapp.com/advisory/ntap-20230725-0006/
https://www.debian.org/security/2023/dsa-5458
https://www.debian.org/security/2023/dsa-5478
https://www.oracle.com/security-alerts/cpujul2023.html",3.7 LOW,07/18/2023
CVE-2023-22048,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22048,Vendor Advisory,"https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/C63HAGVLQA6FJNDCHR7CNZZL6VSLILB2/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/JEHRBBYYTPA4DETOM5XAKGCP37NUTLOA/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/QYLDK6ODVC4LJSDULLX6Q2YHTFOWABCN/
https://security.netapp.com/advisory/ntap-20230725-0005/
https://www.oracle.com/security-alerts/cpujul2023.html",3.1 LOW,07/18/2023
CVE-2023-22047,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22047,Patch,https://www.oracle.com/security-alerts/cpujul2023.html,7.5 HIGH,07/18/2023
CVE-2023-22046,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22046,Vendor Advisory,"https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/C63HAGVLQA6FJNDCHR7CNZZL6VSLILB2/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/JEHRBBYYTPA4DETOM5XAKGCP37NUTLOA/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/QYLDK6ODVC4LJSDULLX6Q2YHTFOWABCN/
https://security.netapp.com/advisory/ntap-20230725-0005/
https://www.oracle.com/security-alerts/cpujul2023.html",4.9 MEDIUM,07/18/2023
