CVE ID,Link,Patch Type,Patch Link (NVD),Base-Score,NVD Published Date
CVE-2023-0075,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-0075,NA,Patch Not Available,5.4 MEDIUM,02/13/2023
CVE-2022-46174,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-46174,Patch,"https://github.com/aws/efs-utils/commit/f3a8f88167d55caa2f78aeb72d4dc1987a9ed62d
https://github.com/aws/efs-utils/issues/125
https://github.com/aws/efs-utils/security/advisories/GHSA-4fv8-w65m-3932",4.2 MEDIUM,12/28/2022
CVE-2022-4369,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-4369,NA,Patch Not Available,6.1 MEDIUM,01/02/2023
CVE-2022-41906,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-41906,Patch,"https://github.com/opensearch-project/notifications/pull/496
https://github.com/opensearch-project/notifications/pull/507
https://github.com/opensearch-project/notifications/security/advisories/GHSA-pfc4-3436-jgrw",7.7 HIGH,11/11/2022
CVE-2022-41828,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-41828,Patch,"https://github.com/aws/amazon-redshift-jdbc-driver/commit/40b143b4698faf90c788ffa89f2d4d8d2ad068b5
https://github.com/aws/amazon-redshift-jdbc-driver/security/advisories/GHSA-jc69-hjw2-fm86",8.1 HIGH,09/29/2022
CVE-2022-40968,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-40968,NA,Patch Not Available,4.8 MEDIUM,12/04/2022
CVE-2022-37437,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-37437,Vendor Advisory,https://www.splunk.com/en_us/product-security/announcements/svd-2022-0801.html,7.4 HIGH,08/16/2022
CVE-2022-34844,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-34844,Vendor Advisory,https://support.f5.com/csp/article/K34511555,5.9 MEDIUM,08/04/2022
CVE-2022-34266,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-34266,NA,Patch Not Available,5.5 MEDIUM,07/19/2022
CVE-2022-33915,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-33915,Vendor Advisory,"https://alas.aws.amazon.com/AL2/ALAS-2022-1806.html
https://alas.aws.amazon.com/ALAS-2022-1601.html",7.0 HIGH,06/17/2022
CVE-2022-31159,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-31159,NA,Patch Not Available,7.9 HIGH,07/15/2022
CVE-2022-30240,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-30240,Vendor Advisory,"https://insightsoftware.com/trust/security/advisories/redshift-and-athena-driver-vulnerability/
https://www.magnitude.com/products/data-connectivity",7.8 HIGH,05/09/2022
CVE-2022-30239,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-30239,Vendor Advisory,"https://insightsoftware.com/trust/security/advisories/redshift-and-athena-driver-vulnerability/
https://www.magnitude.com/products/data-connectivity",7.8 HIGH,05/09/2022
CVE-2022-29972,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-29972,Vendor Advisory,"https://insightsoftware.com/trust/security/advisories/redshift-and-athena-driver-vulnerability/
https://www.magnitude.com/products/data-connectivity",7.8 HIGH,05/09/2022
CVE-2022-29971,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-29971,Vendor Advisory,"https://insightsoftware.com/trust/security/advisories/redshift-and-athena-driver-vulnerability/
https://www.magnitude.com/products/data-connectivity",7.8 HIGH,05/09/2022
CVE-2022-29527,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-29527,Patch,"https://bugzilla.suse.com/show_bug.cgi?id=1196556
https://github.com/aws/amazon-ssm-agent/commit/0fe8ae99b2ff25649c7b86d3bc05fc037400aca7
https://github.com/aws/amazon-ssm-agent/releases/tag/3.1.1208.0",7.0 HIGH,04/20/2022
